Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Primary,Bibliology,Inspiration,objective,Someone argues that a right understanding of the inspiration of Scripture is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_B_I_014,adversarial_precision_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,Two mature Christians in your church hold different but orthodox views on spiritual gifts. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_PG_SG_014,adversarial_precision_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,objective,What is the core teaching of historic Christianity regarding the nature and hierarchy of angels? Provide examples from Scripture and major confessional documents.,T_A_NHO_001,objective_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,A longtime church member tells you privately that they are having serious doubts about creation ex nihilo. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_C_ENC_006,pastoral_v2
Tertiary,Israelology,Covenant Promises,pastoral,An atheist podcaster you are dialoguing with claims that the covenant promises to Israel is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,T_I_CP_008,pastoral_v2
Tertiary,Providence,Theodicy & Suffering,objective,"What are the most important scriptural passages supporting the problem of evil, theodicy, and suffering? How should this doctrine shape the everyday life of a believer?",T_P_TS_001,objective_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices gender and human sexuality differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_AR_GS_008,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on church discipline and the unity of the church don't really matter 'as long as we love each other.' How should you address this situation?,S_E_DU_009,pastoral_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,pastoral,A Christian is using their strong view on covenant theology versus dispensationalism to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_C_CVD_009,adversarial_precision_v2
Primary,Prolegomena,Theological Method,objective,"How should a clear understanding of theological method inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_P_TM_004,objective_v2
Tertiary,Eschatology,Millennium Views,objective,"Explain the primary biblical basis for millennial views (pre-, post-, and a-millennialism) and its key implications for Christian belief and practice.",T_E_MV_003,objective_v2
Secondary,Baptism,Meaning & Significance,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the meaning and significance of baptism. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_B_MS_006,pastoral_v2
Primary,Soteriology,Atonement,objective,What is the core teaching of historic Christianity regarding the atonement? Provide examples from Scripture and major confessional documents.,P_S_A_007,objective_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,How would a misunderstanding of the continuation or cessation of spiritual gifts affect a believer's assurance or approach to suffering?,S_PG_CVC_013,coherence_application_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,What are the central distinctions or nuances that must be maintained when teaching the inerrancy and sufficiency of Scripture in order to remain faithful to historic orthodoxy?,P_B_IS_002,objective_v2
Primary,Bibliology,Inspiration,pastoral,A longtime church member tells you privately that they are having serious doubts about the inspiration of Scripture. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_B_I_012,pastoral_v2
Primary,Christology,Deity of Christ,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the deity of Christ differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_C_DOC_013,pastoral_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,An atheist podcaster you are dialoguing with claims that the nature of the Lord's Supper is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,S_E_NOT_006,pastoral_v2
Primary,Prolegomena,Theological Method,objective,"How does theological method fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_P_TM_006,objective_v2
Primary,Christology,Hypostatic Union,pastoral,"In a Bible study, someone asks how the hypostatic union of Christ should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_C_HU_012,pastoral_v2
Primary,Christology,Humanity of Christ,objective,A popular online teacher claims that the humanity of Christ is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_C_HOC_013,adversarial_precision_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,A new Christian has been reading popular books that treat the nature of the Lord's Supper as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_E_NOT_009,pastoral_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,objective,"How does covenant theology versus dispensationalism fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",T_C_CVD_003,objective_v2
Primary,Trinitarianism,Eternal Relations,objective,What are the most common contemporary misconceptions or distortions of the eternal relations within the Trinity? How would you correct each one from Scripture and historic Christian teaching?,P_T_ER_004,objective_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,"In a Bible study, someone asks how the continuation or cessation of spiritual gifts should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_PG_CVC_010,pastoral_v2
Primary,Hamartiology,Origin of Sin,objective,Explain the primary biblical basis for the origin of sin and its key implications for Christian belief and practice.,P_H_OOS_007,objective_v2
Tertiary,Providence,God's Sovereignty,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why God's sovereignty matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_P_GS_007,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,A believer who struggles with assurance asks how church discipline and the unity of the church relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_E_DU_005,pastoral_v2
Secondary,Baptism,Subjects of Baptism,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the proper subjects (recipients) of baptism. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_B_SOB_005,pastoral_v2
Tertiary,Eschatology,Signs of the End Times,objective,"How does the signs of the end times fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",T_E_SOT_002,objective_v2
Tertiary,Israelology,Covenant Promises,pastoral,A parent in your congregation wants help explaining the covenant promises to Israel to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_I_CP_007,pastoral_v2
Primary,Christology,Humanity of Christ,pastoral,A believer who struggles with assurance asks how the humanity of Christ relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_C_HOC_009,pastoral_v2
Secondary,Eucharist,Frequency & Practice,objective,Explain the primary biblical basis for the frequency and practice of the Lord's Supper and its key implications for Christian belief and practice.,S_E_FP_004,objective_v2
Secondary,Baptism,Meaning & Significance,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the meaning and significance of baptism matters or why Christians fight about it.' How do you respond with clarity and compassion?",S_B_MS_010,pastoral_v2
Primary,Trinitarianism,Eternal Relations,objective,What are the central distinctions or nuances that must be maintained when teaching the eternal relations within the Trinity in order to remain faithful to historic orthodoxy?,P_T_ER_002,objective_v2
Primary,Soteriology,Atonement,objective,In what ways can a misunderstanding of the atonement lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_S_A_003,objective_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of gender and human sexuality. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_AR_GS_006,pastoral_v2
Tertiary,Eschatology,Millennium Views,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain millennial views (pre-, post-, and a-millennialism) in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_E_MV_008,pastoral_v2
Primary,Hamartiology,Nature of Sin,objective,In what ways can a misunderstanding of the nature of sin lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_H_NOS_001,objective_v2
Primary,Theology Proper,Decrees of God,objective,A popular online teacher claims that the decrees of God is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_TP_DOG_014,adversarial_precision_v2
Primary,Christology,Humanity of Christ,objective,What are the central distinctions or nuances that must be maintained when teaching the humanity of Christ in order to remain faithful to historic orthodoxy?,P_C_HOC_006,objective_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain covenant theology versus dispensationalism in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_C_CVD_005,pastoral_v2
Tertiary,Israelology,Role of Israel,pastoral,A parent in your congregation wants help explaining the role of Israel in God's purposes to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_I_ROI_005,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,objective,Describe the historic confessional understanding of the distinction of persons in the Trinity as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_T_DOP_007,objective_v2
Secondary,Baptism,Subjects of Baptism,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the proper subjects (recipients) of baptism don't really matter 'as long as we love each other.' How should you address this situation?,S_B_SOB_006,pastoral_v2
Tertiary,Israelology,Role of Israel,objective,Explain the primary biblical basis for the role of Israel in God's purposes and its key implications for Christian belief and practice.,T_I_ROI_001,objective_v2
Tertiary,Ethics,Cultural Engagement,objective,What are the most important scriptural passages supporting Christian cultural engagement? How should this doctrine shape the everyday life of a believer?,T_E_CE_003,objective_v2
Tertiary,Ethics,Cultural Engagement,objective,In what ways can a misunderstanding of Christian cultural engagement lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,T_E_CE_002,objective_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,"In a Bible study, someone asks how church discipline and the unity of the church should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_E_DU_007,pastoral_v2
Primary,Soteriology,Regeneration & Union with Christ,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why regeneration and union with Christ matters or why Christians fight about it.' How do you respond with clarity and compassion?",P_S_RUW_012,pastoral_v2
Tertiary,Ethics,Sanctification in Daily Life,pastoral,A Christian is using their strong view on sanctification in everyday Christian life to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_E_SID_009,adversarial_precision_v2
Primary,Theology Proper,Existence of God,objective,Someone argues that a right understanding of the existence of God is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_TP_EOG_015,adversarial_precision_v2
Primary,Theology Proper,Attributes of God,pastoral,How would a misunderstanding of the attributes of God affect a believer's assurance or approach to suffering?,P_TP_AOG_016,coherence_application_v2
Tertiary,Israelology,Future of Ethnic Israel,objective,What is the core teaching of historic Christianity regarding the future of ethnic Israel? Provide examples from Scripture and major confessional documents.,T_I_FOE_001,objective_v2
Primary,Christology,Hypostatic Union,pastoral,A parent in your congregation wants help explaining the hypostatic union of Christ to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,P_C_HU_013,pastoral_v2
Tertiary,Israelology,Covenant Promises,pastoral,A Christian is using their strong view on the covenant promises to Israel to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_I_CP_010,adversarial_precision_v2
Primary,Soteriology,Atonement,pastoral,A new Christian has been reading popular books that treat the atonement as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_S_A_014,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,In what ways can a misunderstanding of the inerrancy and sufficiency of Scripture lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_B_IS_007,objective_v2
Primary,Prolegomena,Nature of Theology,objective,A popular online teacher claims that the nature of theology is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_P_NOT_016,adversarial_precision_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,"How should a clear understanding of the inerrancy and sufficiency of Scripture inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_B_IS_005,objective_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the nature and hierarchy of angels in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_A_NHO_005,pastoral_v2
Secondary,Baptism,Subjects of Baptism,objective,Explain the primary biblical basis for the proper subjects (recipients) of baptism and its key implications for Christian belief and practice.,S_B_SOB_002,objective_v2
Secondary,Eucharist,Presence of Christ,objective,"How does the presence of Christ in the Lord's Supper fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_E_POC_004,objective_v2
Tertiary,Covenantology,Old vs. New Covenant,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the relationship between the old and new covenants matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_C_OVN_005,pastoral_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,"In a Bible study, someone asks how the nature and hierarchy of angels should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_A_NHO_004,pastoral_v2
Tertiary,Eschatology,Timing of Christ's Return,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the timing of Christ's return in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_E_TOC_004,pastoral_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,A parent in your congregation wants help explaining the continuation or cessation of spiritual gifts to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,S_PG_CVC_006,pastoral_v2
Tertiary,Creation,Days of Creation,pastoral,"In a Bible study, someone asks how the days of creation (length and nature) should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_C_DOC_007,pastoral_v2
Primary,Prolegomena,Nature of Theology,objective,What are the central distinctions or nuances that must be maintained when teaching the nature of theology in order to remain faithful to historic orthodoxy?,P_P_NOT_007,objective_v2
Primary,Theology Proper,Decrees of God,pastoral,A parent in your congregation wants help explaining the decrees of God to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,P_TP_DOG_009,pastoral_v2
Primary,Prolegomena,Theological Method,objective,Someone argues that a right understanding of theological method is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_P_TM_016,adversarial_precision_v2
Primary,Prolegomena,Revelation (General & Special),objective,What are the most common contemporary misconceptions or distortions of general and special revelation? How would you correct each one from Scripture and historic Christian teaching?,P_P_RGS_001,objective_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices general and special revelation differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_P_RGS_013,pastoral_v2
Primary,Bibliology,Authority,objective,A popular online teacher claims that the authority of Scripture is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_B_A_015,adversarial_precision_v2
Primary,Trinitarianism,Distinction of Persons,objective,In what ways can a misunderstanding of the distinction of persons in the Trinity lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_T_DOP_002,objective_v2
Secondary,Baptism,Meaning & Significance,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the meaning and significance of baptism in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",S_B_MS_008,pastoral_v2
Tertiary,Israelology,Role of Israel,pastoral,A Christian is using their strong view on the role of Israel in God's purposes to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_I_ROI_010,adversarial_precision_v2
Tertiary,Ethics,Cultural Engagement,pastoral,A Christian is using their strong view on Christian cultural engagement to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_E_CE_009,adversarial_precision_v2
Primary,Trinitarianism,Eternal Relations,objective,"How should a clear understanding of the eternal relations within the Trinity inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_T_ER_001,objective_v2
Tertiary,Covenantology,Covenant Framework,pastoral,A Christian is using their strong view on the covenant framework of Scripture to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_C_CF_009,adversarial_precision_v2
Tertiary,Israelology,Future of Ethnic Israel,objective,"How does the future of ethnic Israel fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",T_I_FOE_003,objective_v2
Primary,Trinitarianism,Eternal Relations,objective,What are the most important scriptural passages supporting the eternal relations within the Trinity? How should this doctrine shape the everyday life of a believer?,P_T_ER_003,objective_v2
Secondary,Anthropology (roles),Image of God,objective,What are the central distinctions or nuances that must be maintained when teaching the image of God in humanity in order to remain faithful to historic orthodoxy?,S_AR_IOG_004,objective_v2
Tertiary,Covenantology,Covenant Framework,objective,"How should a clear understanding of the covenant framework of Scripture inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_C_CF_003,objective_v2
Primary,Hamartiology,Nature of Sin,objective,What are the most common contemporary misconceptions or distortions of the nature of sin? How would you correct each one from Scripture and historic Christian teaching?,P_H_NOS_010,objective_v2
Primary,Soteriology,Atonement,objective,Why is the atonement considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_S_A_005,objective_v2
Primary,Prolegomena,Nature of Theology,objective,Why is the nature of theology considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_P_NOT_009,objective_v2
Secondary,Eucharist,Presence of Christ,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the presence of Christ in the Lord's Supper don't really matter 'as long as we love each other.' How should you address this situation?,S_E_POC_011,pastoral_v2
Primary,Hamartiology,Nature of Sin,objective,Why is the nature of sin considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_H_NOS_004,objective_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,A Christian is using their strong view on creation ex nihilo to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_C_ENC_009,adversarial_precision_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,Describe the historic confessional understanding of regeneration and union with Christ as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_S_RUW_002,objective_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,Two mature Christians in your church hold different but orthodox views on complementarian and egalitarian views on gender roles. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_AR_CVE_010,adversarial_precision_v2
Secondary,Baptism,Subjects of Baptism,pastoral,"In what ways does the proper subjects (recipients) of baptism connect to the life, death, and resurrection of Jesus Christ?",S_B_SOB_012,coherence_application_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,"In what ways does the nature and marks of the true church connect to the life, death, and resurrection of Jesus Christ?",S_E_NMO_013,coherence_application_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,"How should a clear understanding of the effects and guilt of sin inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_H_EGO_001,objective_v2
Secondary,Baptism,Mode of Baptism,objective,What are the central distinctions or nuances that must be maintained when teaching the proper mode of baptism in order to remain faithful to historic orthodoxy?,S_B_MOB_001,objective_v2
Primary,Prolegomena,Nature of Theology,objective,Someone argues that a right understanding of the nature of theology is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_P_NOT_015,adversarial_precision_v2
Primary,Hamartiology,Origin of Sin,pastoral,A small group is studying the origin of sin. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_H_OOS_016,coherence_application_v2
Primary,Prolegomena,Theological Method,pastoral,A longtime church member tells you privately that they are having serious doubts about theological method. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_P_TM_011,pastoral_v2
Primary,Christology,Humanity of Christ,objective,Why is the humanity of Christ considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_C_HOC_005,objective_v2
Tertiary,Angelology,Demonic Activity,objective,Explain the primary biblical basis for demonic activity and the powers of darkness and its key implications for Christian belief and practice.,T_A_DA_002,objective_v2
Tertiary,Ethics,Sanctification in Daily Life,objective,What is the core teaching of historic Christianity regarding sanctification in everyday Christian life? Provide examples from Scripture and major confessional documents.,T_E_SID_003,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,objective,What are the most common contemporary misconceptions or distortions of the nature of the Lord's Supper? How would you correct each one from Scripture and historic Christian teaching?,S_E_NOT_003,objective_v2
Tertiary,Angelology,Spiritual Warfare,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why spiritual warfare matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_A_SW_006,pastoral_v2
Primary,Christology,Deity of Christ,pastoral,A longtime church member tells you privately that they are having serious doubts about the deity of Christ. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_C_DOC_009,pastoral_v2
Secondary,Eucharist,Frequency & Practice,pastoral,A new Christian has been reading popular books that treat the frequency and practice of the Lord's Supper as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_E_FP_010,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,pastoral,A new Christian has been reading popular books that treat the inerrancy and sufficiency of Scripture as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_B_IS_014,pastoral_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,What is the core teaching of historic Christianity regarding regeneration and union with Christ? Provide examples from Scripture and major confessional documents.,P_S_RUW_003,objective_v2
Secondary,Baptism,Mode of Baptism,pastoral,A parent in your congregation wants help explaining the proper mode of baptism to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,S_B_MOB_004,pastoral_v2
Secondary,Eucharist,Nature of the Lord's Supper,objective,Explain the primary biblical basis for the nature of the Lord's Supper and its key implications for Christian belief and practice.,S_E_NOT_004,objective_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,Someone argues that a right understanding of the effects and guilt of sin is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_H_EGO_015,adversarial_precision_v2
Primary,Trinitarianism,Eternal Relations,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the eternal relations within the Trinity in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_T_ER_010,pastoral_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the nature and hierarchy of angels in light of their pain. How do you respond?",T_A_NHO_008,pastoral_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,Someone argues that a right understanding of regeneration and union with Christ is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_S_RUW_015,adversarial_precision_v2
Primary,Trinitarianism,Unity of Essence,pastoral,"In a Bible study, someone asks how the unity of essence in the Trinity should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_T_UOE_008,pastoral_v2
Primary,Bibliology,Authority,objective,What are the most important scriptural passages supporting the authority of Scripture? How should this doctrine shape the everyday life of a believer?,P_B_A_002,objective_v2
Secondary,Baptism,Mode of Baptism,objective,"How should a clear understanding of the proper mode of baptism inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_B_MOB_002,objective_v2
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the effects and guilt of sin in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_H_EGO_010,pastoral_v2
Primary,Bibliology,Authority,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the authority of Scripture in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_B_A_009,pastoral_v2
Tertiary,Covenantology,Covenant Framework,pastoral,A believer who struggles with assurance asks how the covenant framework of Scripture relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_C_CF_007,pastoral_v2
Primary,Trinitarianism,Eternal Relations,objective,"In a discussion, a participant says that historic formulations of the eternal relations within the Trinity are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_T_ER_015,adversarial_precision_v2
Primary,Hamartiology,Nature of Sin,pastoral,A longtime church member tells you privately that they are having serious doubts about the nature of sin. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_H_NOS_014,pastoral_v2
Primary,Christology,Hypostatic Union,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the hypostatic union of Christ. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_C_HU_010,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,Why is the inerrancy and sufficiency of Scripture considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_B_IS_003,objective_v2
Tertiary,Providence,God's Sovereignty,pastoral,A longtime church member tells you privately that they are having serious doubts about God's sovereignty. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_P_GS_009,pastoral_v2
Primary,Theology Proper,Attributes of God,objective,What are the central distinctions or nuances that must be maintained when teaching the attributes of God in order to remain faithful to historic orthodoxy?,P_TP_AOG_004,objective_v2
Primary,Theology Proper,Attributes of God,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the attributes of God in light of their pain. How do you respond?",P_TP_AOG_011,pastoral_v2
Tertiary,Ethics,Moral Law Application,pastoral,A believer who struggles with assurance asks how the application of the moral law today relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_E_MLA_008,pastoral_v2
Primary,Soteriology,Atonement,pastoral,"In a Bible study, someone asks how the atonement should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_S_A_011,pastoral_v2
Primary,Christology,Hypostatic Union,objective,A popular online teacher claims that the hypostatic union of Christ is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_C_HU_014,adversarial_precision_v2
Primary,Prolegomena,Nature of Theology,pastoral,A new Christian has been reading popular books that treat the nature of theology as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_P_NOT_010,pastoral_v2
Primary,Christology,Deity of Christ,objective,"What specific claims did Jesus make about himself that, if false, would make him either a liar or a lunatic rather than a good moral teacher? How do the Gospels present these claims?",P_C_DOC_005,hand_curated_precision_v2
Secondary,Ecclesiology,Church Government & Polity,objective,Why is church government and polity considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,S_E_CGP_003,objective_v2
Tertiary,Providence,Theodicy & Suffering,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the problem of evil, theodicy, and suffering in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_P_TS_006,pastoral_v2
Tertiary,Israelology,Future of Ethnic Israel,pastoral,A Christian is using their strong view on the future of ethnic Israel to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_I_FOE_009,adversarial_precision_v2
